Date,recipient,in_degree
2019-10,io1hp6y4eqr90j7tmul4w2wa8pm7wx462hq0mg4tw,403
2019-10,io16alj8sw7pt0d5wv22gdyphuyz9vas5dk8czk88,56
2019-10,io0000000000000000000000rewardingprotocol,524
2019-11,io16alj8sw7pt0d5wv22gdyphuyz9vas5dk8czk88,55
2019-11,io0000000000000000000000rewardingprotocol,504
2019-11,io1hp6y4eqr90j7tmul4w2wa8pm7wx462hq0mg4tw,373
2019-12,io0000000000000000000000rewardingprotocol,425
2019-12,io1hp6y4eqr90j7tmul4w2wa8pm7wx462hq0mg4tw,332
2019-12,io16alj8sw7pt0d5wv22gdyphuyz9vas5dk8czk88,53
2019-4,io0000000000000000000000rewardingprotocol,61
2019-5,io0000000000000000000000rewardingprotocol,186
2019-5,io1zlhm9t6dk7vfj8x3et2vrmykvy74ex8efvnsf2,94
2019-6,io0000000000000000000000rewardingprotocol,745
2019-6,io16alj8sw7pt0d5wv22gdyphuyz9vas5dk8czk88,126
2019-6,io1zlhm9t6dk7vfj8x3et2vrmykvy74ex8efvnsf2,239
2019-6,io1hp6y4eqr90j7tmul4w2wa8pm7wx462hq0mg4tw,304
2019-7,io0000000000000000000000rewardingprotocol,2915
2019-7,io16alj8sw7pt0d5wv22gdyphuyz9vas5dk8czk88,113
2019-7,io1hp6y4eqr90j7tmul4w2wa8pm7wx462hq0mg4tw,365
2019-7,io17zjv5f97j0d9fp6svqnvf2nf3k4a5pjay9kzp9,2439
2019-8,io0000000000000000000000rewardingprotocol,515
2019-8,io16alj8sw7pt0d5wv22gdyphuyz9vas5dk8czk88,79
2019-8,io1p99pprm79rftj4r6kenfjcp8jkp6zc6mytuah5,50
2019-8,io1hp6y4eqr90j7tmul4w2wa8pm7wx462hq0mg4tw,381
2019-9,io0000000000000000000000rewardingprotocol,506
2019-9,io1hp6y4eqr90j7tmul4w2wa8pm7wx462hq0mg4tw,397
2019-9,io16alj8sw7pt0d5wv22gdyphuyz9vas5dk8czk88,64
2020-1,io1hp6y4eqr90j7tmul4w2wa8pm7wx462hq0mg4tw,315
2020-1,io1xpq62aw85uqzrccg9y5hnryv8ld2nkpycc3gza,71
2020-1,io16alj8sw7pt0d5wv22gdyphuyz9vas5dk8czk88,68
2020-1,io0000000000000000000000rewardingprotocol,509
2020-10,io0000000000000000000000rewardingprotocol,1912
2020-10,io129wzcdwrajpvxzhlchkqdk56xrhspp6pdu43qx,231
2020-10,io108ckwzlzpkhva7cnfceajlu7wu6ql5kq95uat9,138
2020-10,io1c7unwg8h8vph89xwqru4f7zfa4yy5002wxvlrm,53
2020-10,io1gafy2msqmmmqyhrhk4dg3ghc59cplyhekyyu26,143
2020-10,io1hp6y4eqr90j7tmul4w2wa8pm7wx462hq0mg4tw,1188
2020-10,io1k7j6la2hfpsnfvacnj0ksxan4vgnuddtqyzv53,60
2020-10,io1ahh04jn2zkqlug6feh7rpq75a75p3rj42hp4ch,50
2020-10,io1cgzwktxcv2ympehs54lj8lqfg5ewc0ktt45vfm,148
2020-10,io1lwc9nuu3gz3jm65s7u4ylwwyuf34pxq27dfq89,52
2020-10,io000000000000000000000000stakingprotocol,562
2020-10,io1qfvgvmk6lpxkpqwlzanqx4atyzs86ryqjnfuad,53
2020-10,io16alj8sw7pt0d5wv22gdyphuyz9vas5dk8czk88,125
2020-10,io1kwtjyq0n4c4nsfn9egffh55dq4n43klz0u77n7,250
