Date,sender,tot_transactions,out_degree,in_degree,total_amount,max_amount,min_amount
2019-10,io1qza3y0dwclkyputfd2vtl0qy75yjjxnzefhmj0,69,5,1,399021987890000000000000,140000000000000000000000,0
2019-10,io0000000000000000000000rewardingprotocol,421,38,524,16725176492229268632468636,821531830788158106691022,0
2019-10,io1qxc0sp2t8lmztejar9qp3vpkh0rhfpgh50sezc,92,29,1,114700742270000000000000,15000000000000000000000,0
2019-10,io1msprd57smx0cxufpw3lc4rc7zr32acr3f0czad,14,7,0,8396159000000000000,2000000000000000000,0
2019-10,io1vevarh5srl34q20lvuwp56vrtw5dfruuu20j8h,14,6,0,17149710000000000000,5000000000000000000,0
2019-10,io12pzd0cyn2syepzenshk3y0v5z75u8alv7nz8mu,10,5,3,3178295000000000000,1000000000000000000,0
2019-10,io1w7enh0vv87uw9rt732z089nq6652dradk30vlu,3341,84,3,657471395888079878804098,135533980354162247833342,10000000000000000
2019-10,io1q0uahrwn8y76g35cw4zpd6rlsdvmgr3fg2wayc,29,8,2,304459395000000000000,100000000000000000000,0
2019-10,io1zsnwum6tvu9wupdhzk8gg4e9g4tm6hfaahatzs,72,29,2,45791455000000000000,10000000000000000000,0
2019-10,io1gtquhxcjpcgp3nchx4xxpydalftjsgk5l2xdag,78,6,0,127471601000000000000,100000000000000000000,0
2019-10,io1cuua32hupytntjvedh9egqprav349rldgjk2uq,23,5,3,1191181867455000000000000,380020000000000000000000,10000000000000000
2019-10,io1uqvz2rl0snpkncq4h9felrjr5hep6p287lnkkf,87,17,0,451858791000000000000,30000000000000000000,0
2019-10,io1wlg5jfuzrsmzpfetzl6zaef7e99jywvfruqnr9,141,40,37,222334799296000000000000,29900000000000000000000,0
2019-10,io1cvcvyuu3w47ssa4fw2gs7g73zux7llnd83uget,106,21,14,1934455057572410000000000,599850000000000000000000,10000000000000000
2019-10,io1luqr7rt4r5a8z9e0wglmh3xjvtw50t0swdrth3,82,20,2,159000917047000000000000,88000000000000000000000,0
2019-10,io1jhk5vj2jvpmavyqqeccvnu7xmpdv3skxel84mh,4533,33,0,336891741000000000000,1000000000000000000,0
2019-10,io14evrny8y6k8cp5xzahw6k2qegdz7c4njrkpfu0,2700,73,0,376128711403668263627,10029368278801132041,756677514532161
2019-10,io1y3lhu7mmzgl3ullyjrz5f69rkkew4wqu58m9n0,58,24,4,119700470990000000000000,50000000000000000000000,0
2019-10,io1zjlr5276yeugjfztpez72l2xaphw9e2yhsravw,30,6,2,3019130000000000000,1000000000000000000,0
2019-10,io1zq685g0g3y26mgk46t002ef99jp595pd6gv4y0,49,7,0,6024721000000000000,1000000000000000000,0
2019-10,io19dvyeuwpc9lvjx6tu3ndepw3zuvsfdqj8jmk6v,18,9,7,10051251835000000000000,10000000000000000000000,10000000000000000
2019-10,io1g20juhh824jpwc2dmssc0fetfqd6zh069cnxwf,30,5,1,2341733000000000000,1000000000000000000,0
2019-10,io12422wnpnjkha30rd8jj53t688rv5zhkf7vne8m,20,7,0,10937850000000000000,6670000000000000000,0
2019-10,io1nqanqe5mpl4hmze5nyy2r7ykdcylx49zumq7zv,50,7,2,4639830000000000000,1000000000000000000,0
2019-10,io13z4yvh45v2r3r9rwhqz4f2324072w30xz4cada,212,6,0,23710140000000000000,5000000000000000000,0
2019-10,io1v8aj79xc7zdn46rptrqe63g79tgq57s8em2yk5,130,35,1,3293811686930000000000000,1000000000000000000000000,10000000000000000
2019-10,io1ga8gf9z2h4cczg8ums4p9efp9dg4lzc8jkucnh,14,6,1,5204865000000000000,2000000000000000000,0
2019-10,io1rpavnz36r7wp9zs4m33qrmmwkqhtpzv03hyr9t,60,5,2,613831708474100000000000,99000000000000000000000,0
2019-10,io1lvemm43lz6np0hzcqlpk0kpxxww623z5hs4mwu,10997,382,1,1910185599536568627847565,10570424269517591425695,13432442935531941
2019-10,io1uqhmnttmv0pg8prugxxn7d8ex9angrvfjfthxa,12,7,0,1710100060000000000000000,1000000000000000000000000,10000000000000000
2019-10,io1ax3j0w9nx0talct8kzh9carcvr90ggj0k59vcj,62,14,3,3241503000000000000,1000000000000000000,0
2019-11,io1wlg5jfuzrsmzpfetzl6zaef7e99jywvfruqnr9,24,13,11,80017955302000000000000,10000000000000000000000,0
2019-11,io1rpavnz36r7wp9zs4m33qrmmwkqhtpzv03hyr9t,52,5,1,578527689104000000000000,90000000000000000000000,0
2019-11,io1qxc0sp2t8lmztejar9qp3vpkh0rhfpgh50sezc,20,11,1,39500100000000000000000,7500000000000000000000,10000000000000000
2019-11,io1xdva8lfqh08h2vwe44q0r5x7t0e84jnsef8m7e,90,24,2,71001373771000000000000,5000000000000000000000,0
2019-11,io1w6l46j30y9l2y2409td4llkesuvrctwy2cd3qs,13,5,3,2328200185454000000000000,984000000000000000000000,10000000000000000
2019-11,io1zsnwum6tvu9wupdhzk8gg4e9g4tm6hfaahatzs,38,14,0,7840990000000000000,2000000000000000000,0
2019-11,io1av8h4g2jujrducpg0c48xy07gdk4n4l8trc3xy,198,5,0,11025081000000000000,3000000000000000000,0
2019-11,io14evrny8y6k8cp5xzahw6k2qegdz7c4njrkpfu0,1766,67,0,219222768724027700377,10220741101537146795,1002592462842826
2019-11,io16nmldpefajfw9uj0k5yh2spy06ysu6qhq8cen3,52,24,1,4860000000000000000,1000000000000000000,10000000000000000
2019-11,io1mzly3mzaw0nesn96zsmp3gqvhj929ejkl6rsh9,24,5,3,2398915599000000000000,1199000000000000000000,0
2019-11,io1lvemm43lz6np0hzcqlpk0kpxxww623z5hs4mwu,13712,472,1,3061764930529135464121492,11783858021715018249100,3669178425607312
2019-11,io1w7enh0vv87uw9rt732z089nq6652dradk30vlu,3306,79,3,710991142082510695669490,152024699009388465063320,10000000000000000
2019-11,io1uqhmnttmv0pg8prugxxn7d8ex9angrvfjfthxa,14,6,0,10461000070000000000000000,10000000000000000000000000,10000000000000000
2019-11,io1y3lhu7mmzgl3ullyjrz5f69rkkew4wqu58m9n0,72,36,4,90000396570000000000000,25000000000000000000000,0
2019-11,io1v8aj79xc7zdn46rptrqe63g79tgq57s8em2yk5,212,57,1,4562754626935000000000000,1000000000000000000000000,10000000000000000
2019-11,io0000000000000000000000rewardingprotocol,390,37,504,18065496803282209543333761,1340020000000000000000000,0
2019-11,io19msajm9hv4u793jvnwcy23plkwzffywjh257sz,39,7,2,107942346000000000000,100000000000000000000,0
2019-11,io10za87e9ry7m36gg9hqwupnxdr8axpw3z2gwgzx,40,5,2,7295714204000000000000,5000000000000000000000,0
2019-11,io1cses0et57mr2kcny0973e8xd0zyg4s7zlxv97m,62,5,0,2522606820000000000000,2520000000000000000000,0
2019-11,io1luqr7rt4r5a8z9e0wglmh3xjvtw50t0swdrth3,28,15,2,231520310568000000000000,43000000000000000000000,0
2019-11,io1qza3y0dwclkyputfd2vtl0qy75yjjxnzefhmj0,110,6,1,342024238251000000000000,190020000000000000000000,0
2019-11,io163l2vyqhmvwfa70lfjucenrp8ctac0sfevg59y,32,5,1,1424700000000000000,1000000000000000000,0
2019-11,io1cvcvyuu3w47ssa4fw2gs7g73zux7llnd83uget,22,8,12,2824522373086970000000000,557900000000000000000000,10000000000000000
2019-11,io1u7krpate4xwwdwfj54q9m383a62jryxngpmek7,40,8,0,535570410000000000000,500000000000000000000,0
2019-11,io1kqlj8xw09wa99u77ysevr6s09teffc0m8jupcd,8,5,3,7374209553000000000000,2998000000000000000000,10000000000000000
2019-12,io10fpqa2wq4mmquhuuaakkrnzkrmuev3jgsu6hdl,119,5,3,19222395216000000000000,1000000000000000000000,0
2019-12,io1eaeqwg2qd2y5e3647daah7qlmkvxupwzw2jq4w,8,5,0,1422022000000000000,711190000000000000,0
2019-12,io1luqr7rt4r5a8z9e0wglmh3xjvtw50t0swdrth3,8,5,2,24850061570000000000000,15000000000000000000000,0
2019-12,io1cvcvyuu3w47ssa4fw2gs7g73zux7llnd83uget,22,5,7,4740276718604080000000000,1500000000000000000000000,10000000000000000
2019-12,io1wlg5jfuzrsmzpfetzl6zaef7e99jywvfruqnr9,22,10,9,500000354379000000000000,400000000000000000000000,0
2019-12,io10qth56tn9w53x7vdkkuvl88h65qjsl7vfcjssn,18,10,1,4390250000000000000000,2000000000000000000000,10000000000000000
2019-12,io1uqhmnttmv0pg8prugxxn7d8ex9angrvfjfthxa,16,6,1,10824040080000000000000000,9000000000000000000000000,10000000000000000
2019-12,io107ksmju75h72hhpxcjvdt72pv8j54r2yg26pwl,8,5,0,350040000000000000000,200000000000000000000,10000000000000000
2019-12,io1xdva8lfqh08h2vwe44q0r5x7t0e84jnsef8m7e,131,25,2,149776783704000000000000,20000000000000000000000,0
2019-12,io10mk2dqu0e86x7urmadc34v7m3alqqy5l5t822r,16,5,0,16459170000000000000,10000000000000000000,0
2019-12,io19meaw3d9nxzazuwxppma63u4nv4nf7s3hcvqu6,54,5,1,3510543319000000000000,1000000000000000000000,0
2019-12,io1qxc0sp2t8lmztejar9qp3vpkh0rhfpgh50sezc,48,14,2,7250746416000000000000,3000000000000000000000,0
2019-12,io1e9qvuxpwqfpfhdjn2d5p6zkwwkwvyq5lncssjq,82,5,2,80179841981000000000000,31000000000000000000000,0
2019-12,io1v8aj79xc7zdn46rptrqe63g79tgq57s8em2yk5,188,48,1,8355767716917000000000000,1000000000000000000000000,10000000000000000
2019-12,io1zl4a5u56c5s3ez2vy6ugq5vn4fafg936vhxkgy,54,6,2,3997821265000000000000,1000000000000000000000,0
2019-12,io1at4aan4ru293uzxt4jghvcygrhk3hdqsku4gtt,23,5,2,10011852611000000000000,4999000000000000000000,0
2019-12,io1lvemm43lz6np0hzcqlpk0kpxxww623z5hs4mwu,19087,527,1,4361707152609725582085586,11755160811401936093010,2187308907581276
2019-12,io0000000000000000000000rewardingprotocol,304,35,425,16911423483078043506163795,1063173495014102758821841,0
2019-12,io1w7enh0vv87uw9rt732z089nq6652dradk30vlu,3108,74,2,663421046547996914810289,171883601239302664183061,10000000000000000
2019-12,io13qj7azp5mrzwsq9gfv43p26mcuukzlmmcqqyrz,64,6,2,21496542795000000000000,3000000000000000000000,0
2019-4,io1uqhmnttmv0pg8prugxxn7d8ex9angrvfjfthxa,14,5,0,1562324070000000000000000,1511584000000000000000000,10000000000000000
2019-4,io17ch0jth3dxqa7w9vu05yu86mqh0n6502d92lmp,252,90,2,1551861866758000000000000,53936000000000000000000,0
2019-4,io0000000000000000000000rewardingprotocol,78,22,61,1294171291863564373516165,169000000000000000000000,0
2019-5,io10t7juxazfteqzjsd6qjk7tkgmngj2tm7n4fvrd,214,103,2,1008070000000000000000,10000000000000000000,10000000000000000
2019-5,io1uqhmnttmv0pg8prugxxn7d8ex9angrvfjfthxa,14,7,0,16110388070000000000000000,10000000000000000000000000,10000000000000000
2019-5,io1g2hsz6v68v4rqjjyqkywms605kepspejj3esxg,24,5,1,121080581195000000000000,20000000000000000000000,10000000000000000
2019-5,io107ksmju75h72hhpxcjvdt72pv8j54r2yg26pwl,24,8,2,106047303000000000000,50000000000000000000,0
