sender,tot_transactions,out_degree,in_degree,total_amount,max_amount,min_amount
KT1UMAE2PBskeQayP5f2ZbGiVYF7h8bZ2gyp,53736,1570,1892,1953345728958,17580096951,0
tz1VeaJWkdr2m5YaKFgeAafenhHhDcMxWfHC,35392,12776,5518,121088968113600,416723000000,10000
tz1iVUtqsSDxEYL9SAvbMdwm4FzSr3McWH6m,31648,255,3,57832977987,1000000000,2221
KT1PxkrCckgh5fA5v2cZEE2bX5q2RV1rv8dj,111350,3,2799,0,0,0
tz1bDXD6nNSrebqmAnnKKwnX1QdePSMCj4MX,103631,33384,35207,488733583748386,8000000000000,50000
KT1Cba383ZJpEearqnUyUKUMsgu5Z3TXBgeH,62376,13,1026,0,0,0
tz1Z7HGaayrL4XDNQ7UyXe7L4wXboELkhBm3,31883,448,12,53741295816,2397690000,1
tz1RD1wbX3sVgrVYRM341Cgr6h4eFb3ZUeWu,37257,76,32,724010535024,1186000000,0
KT1WvV2rPBQUFUqtCWmnnj8JX2gkmDtMBzQi,46952,2,11056,0,0,0
tz1Pm31zkj5tryYwhuqE7hhzYnULzrA5g5cf,64089,29402,34,18116783169705,113142900000,10000
KT1Ty2uAmF5JxWyeGrVpk17MEyzVB8cXs8aJ,48617,706,5,401163662514747,594549777910,0
KT1H67aLf6SUN1BysWfFLfjUEuN1M6E9qFwM,65470,1,11,0,0,0
KT1HGL8vx7DP4xETVikL4LUYvFxSV19DxdFN,42094,324,1225,44057416927,1137500000,0
KT1ApiKQtUATKKveCRYPpcFX1aq3L8pUyyLx,66934,15,17,0,0,0
tz1gFq1HYc21uUVarCkA6QMjPjqP86nTdoxg,34233,169,43,9965187813,111000000,0
KT1CjrJzk4S66uqv2M3DQHwBAzjD7MVm1jYs,87263,15,16,0,0,0
tz1acsihTQWHEnxxNz7EEsBDLMTztoZQE9SW,320111,3424,6,918059894526,2335102152,0
tz1TDShnpCSsLVJkBW29wNetEFFYeeNxMSVf,33558,2049,2,9117405745,76638284,0
tz1LtHRN6esYq7mAk82vu49PzPcSoj7H3Pjj,42551,112,49,947065468390,13850000000,0
tz1YrmJw6Lje27gWqZ94gU9mNavEjkHu1xGc,159820,2560,7,810186478539,2508516600,0
tz1imqR4V7ehxPeUrewsg6oy7tAPLsDBscTV,114392,77,10,12479912201,4000000000,0
tz1PBMghAEzmMvEN8xG7iPpFz1bmCAt5C3q2,142045,83506,5,103198527,63950000,1
tz1cezwuF9JpSykLhyk4Q8EuRy1zcW2UHnRG,57065,701,32,11556699839,300000000,0
tz1Xp9f1BTbkDbWjMj8xVJjgKpjm7MRuJPw4,104070,146,66,3280802289788,566918059,0
tz1Mzpyj3Ebut8oJ38uvzm9eaZQtSTryC3Kx,836833,836683,6,418646513000,130000000,1000
tz1bd5Pn5DxPinvCtkeJmoneyYiLeUebvUa5,39821,2827,8,22964979853,119162699,12
tz1NEgotHhj4fkm8AcwquQqQBrQsAMRUg86c,48345,3,2,1200000,1000000,0
tz1hodLFy8YDHtf1qJ3XH1gCyeXfwWEitkj9,69356,1144,12,33083117197,2200000000,1
KT1J3wTYb4xk5BsSBkg6ML55bX1xq7desS34,33015,3266,4044,818571988938,12135445333,0
KT1AbuUaPQmYLsB8n8FdSzBrxvrsm8ctwW1V,30653,11,509,0,0,0
KT1PuPNtDFLR6U7e7vDuxunDoKasVT6kMSkz,99621,13,1885,0,0,0
KT1NBgqqJacbdoeNAg9MvrgPT9h6q6AGWvFA,30691,1848,2,154929430614,3085346446,0
tz1SYq214SCBy9naR6cvycQsYcUGpBqQAE8d,155444,5692,6,1464470661273,208738663946,1
KT1DMCGGiHT2dgjjXHG7qh1C1maFchrLNphx,99142,2,637,0,0,0
KT19HdcBJw8XJkDYKLr6ez9KkhhuS8MYUdcs,65457,380,699,1047344969156,45537083873,0
tz1TFcKxNoztP8bDCAojAPsbAW5suVDkNx1p,83071,192,91,794752407471,2057222641,0
KT1WfbRVLuJUEizo6FSTFq5tsi3rsUHLY7vg,63708,3,451,0,0,0
tz1MRssJTFokjJ4WHAY63wFTufQ8qpxZJtvU,46512,8581,4159,174363943804575,234901000000,100000
