Date,recipient,in_degree
2018-10,KT18yTsDxUbVrenxZsbFSx6Ai72hRHod9pHV,605
2018-7,KT18yTsDxUbVrenxZsbFSx6Ai72hRHod9pHV,1256
2018-7,tz1hjem5Rpf4KAVbwMLJet75TDb8HjAKnTYk,738
2018-7,tz1RRVLD5LEu8iaoTMGc5L1NiyiEGuSUtAwX,841
2018-8,KT18yTsDxUbVrenxZsbFSx6Ai72hRHod9pHV,846
2018-9,tz1KtGwriE7VuLwT3LwuvU9Nv4wAxP7XZ57d,508
2018-9,KT18yTsDxUbVrenxZsbFSx6Ai72hRHod9pHV,931
2019-10,KT1F1EfPahaN35gi6aCYB93xV5W6HgVEiZuQ,604
2019-10,tz1SiPXX4MYGNJNDsRc7n8hkvUqFzg8xqF9m,761
2019-10,tz1hkzS6pnfnHv9KzX1nbtqXVqUkzcem8FJs,556
2019-11,tz1SiPXX4MYGNJNDsRc7n8hkvUqFzg8xqF9m,2040
2019-11,tz1NcoDFXMAfB26mpBhVrdSHmppyTeccT6Fi,679
2019-11,tz1bDXD6nNSrebqmAnnKKwnX1QdePSMCj4MX,508
2019-11,tz1bDhCGNZLQw1QXgf6MCzo6EtAVSGkqEB11,615
2019-11,tz1hkzS6pnfnHv9KzX1nbtqXVqUkzcem8FJs,829
2019-11,tz1MXjdb684ByEP5qUn5J7EMub7Sr8eBziDe,742
2019-12,tz1hkzS6pnfnHv9KzX1nbtqXVqUkzcem8FJs,842
2019-12,tz1SiPXX4MYGNJNDsRc7n8hkvUqFzg8xqF9m,3362
2019-12,tz1bDXD6nNSrebqmAnnKKwnX1QdePSMCj4MX,989
2019-4,tz1bDXD6nNSrebqmAnnKKwnX1QdePSMCj4MX,611
2019-4,KT1F1EfPahaN35gi6aCYB93xV5W6HgVEiZuQ,558
2019-5,tz1bDXD6nNSrebqmAnnKKwnX1QdePSMCj4MX,631
2019-5,KT1F1EfPahaN35gi6aCYB93xV5W6HgVEiZuQ,756
2019-6,tz1bDXD6nNSrebqmAnnKKwnX1QdePSMCj4MX,558
2019-6,KT1BRudFZEXLYANgmZTka1xCDN5nWTMWY7SZ,2669
2019-6,KT1F1EfPahaN35gi6aCYB93xV5W6HgVEiZuQ,778
2019-7,KT1F1EfPahaN35gi6aCYB93xV5W6HgVEiZuQ,781
