Date,sender,out_degree
2018-10,KT18yTsDxUbVrenxZsbFSx6Ai72hRHod9pHV,1049
2018-10,tz1KtGwriE7VuLwT3LwuvU9Nv4wAxP7XZ57d,505
2018-10,tz1LBEKXaxQbd5Gtzbc1ATCwc3pppu81aWGc,1693
2018-10,tz1YrmJw6Lje27gWqZ94gU9mNavEjkHu1xGc,532
2018-11,KT1WsKJqDiUr1mBSPbpjUfsEfGQiUk1wuCLd,550
2018-11,tz1SZxvD3FHWys9XZEzUZXH6ArzGuNHLUiUJ,51004
2018-11,tz1bDXD6nNSrebqmAnnKKwnX1QdePSMCj4MX,605
2018-11,tz1i3nMJ5q8J6sELp52sAB85gRBb7ZhkyNoa,2084
2018-11,tz1NS1BF1kEz4EDNofXF7VGQ3aSXGYFz1v6a,63554
2018-11,KT18yTsDxUbVrenxZsbFSx6Ai72hRHod9pHV,730
2018-11,tz1YrmJw6Lje27gWqZ94gU9mNavEjkHu1xGc,607
2018-11,tz1TZ9m5bUZPSoRzDRikF8NbX7TYT7U1vs7t,831
2018-11,tz1PBMghAEzmMvEN8xG7iPpFz1bmCAt5C3q2,83504
2018-11,tz1XmUTE5W5GqsP922gTXQTQnweAefv6ojhy,2684
2018-11,tz1c5tAZhrnRhwXTMxLG6tHKYToJHsHumVbj,11304
2018-12,tz1YrmJw6Lje27gWqZ94gU9mNavEjkHu1xGc,620
2018-12,KT1WsKJqDiUr1mBSPbpjUfsEfGQiUk1wuCLd,555
2018-12,tz1bDXD6nNSrebqmAnnKKwnX1QdePSMCj4MX,597
2018-12,KT18yTsDxUbVrenxZsbFSx6Ai72hRHod9pHV,629
2018-12,tz1NS1BF1kEz4EDNofXF7VGQ3aSXGYFz1v6a,29542
2018-12,tz1PBMghAEzmMvEN8xG7iPpFz1bmCAt5C3q2,23811
2018-7,KT18yTsDxUbVrenxZsbFSx6Ai72hRHod9pHV,886
2018-7,tz1hjem5Rpf4KAVbwMLJet75TDb8HjAKnTYk,928
2018-8,tz1gLp1d7SqUn7B6LYcDwQaeqJodPdzPL5tg,1475
2018-8,tz1VVJ45xvsfuzJuW9uLDvFghrGVJSjkLqR1,1292
2018-8,tz1SVTYK3iEDLcpPGnW5XD1ahJ1RCJjJDkfn,1293
2018-8,KT18yTsDxUbVrenxZsbFSx6Ai72hRHod9pHV,1516
2018-8,tz1LEbsdi6DMY2QfP2K1CAagP3D2cykSU88N,1292
2018-8,tz1U388B2xC7XcJHF1D2899bYBYFFkUy8gjn,1292
2018-9,KT18yTsDxUbVrenxZsbFSx6Ai72hRHod9pHV,1087
2018-9,tz1LBEKXaxQbd5Gtzbc1ATCwc3pppu81aWGc,1511
2019-1,tz1YrmJw6Lje27gWqZ94gU9mNavEjkHu1xGc,597
2019-10,tz1Z7eWGw18LqUgRqmDqNZFQx7f8GEHXRfT8,946
2019-10,tz1cNARmnRRrvZgspPr2rSTUWq5xtGTuKuHY,1295
2019-10,tz1idorxEFjaWPcxe3eETT7V5gsVDuzqwS1G,530
2019-10,tz1YrmJw6Lje27gWqZ94gU9mNavEjkHu1xGc,512
2019-10,tz1bbF9xEYRwAhP4HcKagTpPEayXBqrQn51B,7318
2019-10,tz1Mzpyj3Ebut8oJ38uvzm9eaZQtSTryC3Kx,2489
2019-10,tz1bDXD6nNSrebqmAnnKKwnX1QdePSMCj4MX,505
2019-10,KT1GJBSMRGApA2DnSivs73Fhau6dbfP1Sntd,548
2019-10,tz1acsihTQWHEnxxNz7EEsBDLMTztoZQE9SW,629
2019-10,KT1DzGefKWdrwWn9HxcYtKR46todiC66bxsH,1263
2019-10,KT18vovyWhTYcoUUjhRaUvphKqzjNSQ1yYf3,620
2019-10,tz1MXFrtZoaXckE41bjUCSjAjAap3AFDSr3N,6132
2019-10,tz1SiPXX4MYGNJNDsRc7n8hkvUqFzg8xqF9m,513
2019-10,tz1SYq214SCBy9naR6cvycQsYcUGpBqQAE8d,699
2019-11,tz1bDhCGNZLQw1QXgf6MCzo6EtAVSGkqEB11,988
2019-11,tz1YrmJw6Lje27gWqZ94gU9mNavEjkHu1xGc,501
2019-11,tz1MXFrtZoaXckE41bjUCSjAjAap3AFDSr3N,511
2019-11,tz1NcoDFXMAfB26mpBhVrdSHmppyTeccT6Fi,766
2019-11,tz1SYq214SCBy9naR6cvycQsYcUGpBqQAE8d,804
2019-11,tz1MXjdb684ByEP5qUn5J7EMub7Sr8eBziDe,872
2019-11,tz1SiPXX4MYGNJNDsRc7n8hkvUqFzg8xqF9m,1806
2019-11,tz1e4N6UZzrjoxKbsJoLnxuBy6DfZu4voiTV,511
2019-11,tz1bDXD6nNSrebqmAnnKKwnX1QdePSMCj4MX,751
2019-11,tz1idorxEFjaWPcxe3eETT7V5gsVDuzqwS1G,544
2019-11,tz1acsihTQWHEnxxNz7EEsBDLMTztoZQE9SW,668
2019-11,tz1cNARmnRRrvZgspPr2rSTUWq5xtGTuKuHY,1348
2019-11,tz1Mzpyj3Ebut8oJ38uvzm9eaZQtSTryC3Kx,14257
2019-12,tz1e4N6UZzrjoxKbsJoLnxuBy6DfZu4voiTV,671
2019-12,tz1MXjdb684ByEP5qUn5J7EMub7Sr8eBziDe,751
2019-12,tz1Z7eWGw18LqUgRqmDqNZFQx7f8GEHXRfT8,1186
2019-12,tz1Mzpyj3Ebut8oJ38uvzm9eaZQtSTryC3Kx,11875
2019-12,tz1LnHsA2wpn7guf8b7xzX2i5zNKRQoRQVgJ,1028
2019-12,tz1cNARmnRRrvZgspPr2rSTUWq5xtGTuKuHY,1424
2019-12,tz1MoonPbyMJSqMVsVwExgVc5egnv18CgSDq,541
2019-12,tz1VwmmesDxud2BJEyDKUTV5T5VEP8tGBKGD,501
2019-12,tz1SYq214SCBy9naR6cvycQsYcUGpBqQAE8d,819
2019-12,tz1bDXD6nNSrebqmAnnKKwnX1QdePSMCj4MX,953
2019-12,tz1bDhCGNZLQw1QXgf6MCzo6EtAVSGkqEB11,1067
