Date,out_degree,frequency
2018-10,1,6199
2018-10,2,837
2018-10,3,186
2018-10,4,73
2018-10,5,36
2018-10,6,14
2018-10,7,3
2018-10,8,4
2018-10,9,4
2018-10,10,10
2018-10,11,2
2018-10,12,6
2018-10,13,2
2018-10,14,1
2018-10,15,3
2018-10,16,2
2018-10,17,3
2018-10,18,4
2018-10,19,2
2018-10,20,3
2018-10,22,3
2018-10,23,2
2018-10,25,1
2018-10,26,2
2018-10,27,1
2018-10,28,1
2018-10,29,4
2018-10,30,3
2018-10,33,2
2018-10,34,1
2018-10,36,2
2018-10,37,1
2018-10,38,1
2018-10,39,1
2018-10,45,1
2018-10,47,1
2018-10,48,1
2018-10,49,2
2018-10,56,2
2018-10,61,2
2018-10,67,1
2018-10,71,1
2018-10,75,1
2018-10,78,1
2018-10,80,1
2018-10,91,1
2018-10,92,1
2018-10,108,1
2018-10,117,1
2018-10,127,1
2018-10,128,1
2018-10,129,1
2018-10,136,2
2018-10,142,1
2018-10,146,1
2018-10,150,1
2018-10,154,1
2018-10,157,1
2018-10,168,1
2018-10,173,1
2018-10,179,1
2018-10,181,1
2018-10,188,1
2018-10,199,1
2018-10,207,1
2018-10,214,1
2018-10,221,1
2018-10,244,1
2018-10,363,1
2018-10,444,1
2018-10,505,1
2018-10,532,1
2018-10,1049,1
2018-10,1693,1
2018-11,1,4979
2018-11,2,693
2018-11,3,159
2018-11,4,40
2018-11,5,33
2018-11,6,14
2018-11,7,11
2018-11,8,7
2018-11,9,8
2018-11,10,7
2018-11,12,4
2018-11,13,5
2018-11,14,1
2018-11,16,2
2018-11,17,3
2018-11,18,3
2018-11,19,3
2018-11,20,2
2018-11,22,4
2018-11,24,1
2018-11,25,2
2018-11,26,2
2018-11,27,1
2018-11,28,1
2018-11,30,1
2018-11,32,1
2018-11,33,5
2018-11,34,1
2018-11,35,2
2018-11,36,1
2018-11,38,1
2018-11,40,1
2018-11,42,1
2018-11,47,1
2018-11,48,1
2018-11,49,1
2018-11,51,1
2018-11,53,3
2018-11,55,1
2018-11,57,1
2018-11,68,1
2018-11,73,1
2018-11,75,1
2018-11,77,1
2018-11,81,1
2018-11,82,1
2018-11,88,2
2018-11,95,1
2018-11,96,1
2018-11,100,1
2018-11,102,1
2018-11,103,1
2018-11,106,1
2018-11,107,1
2018-11,108,1
2018-11,110,1
2018-11,113,1
2018-11,115,4
2018-11,117,1
2018-11,130,1
2018-11,131,1
2018-11,132,1
2018-11,133,1
2018-11,147,1
2018-11,150,1
2018-11,152,1
2018-11,155,1
2018-11,166,1
2018-11,167,1
2018-11,169,1
2018-11,212,1
2018-11,228,1
2018-11,244,1
2018-11,275,1
2018-11,321,1
2018-11,550,1
2018-11,605,1
2018-11,607,1
2018-11,730,1
2018-11,831,1
2018-11,2084,1
2018-11,2684,1
2018-11,11304,1
2018-11,51004,1
2018-11,63554,1
2018-11,83504,1
2018-12,1,3522
2018-12,2,460
2018-12,3,115
2018-12,4,35
2018-12,5,15
2018-12,6,13
2018-12,7,9
2018-12,8,8
2018-12,9,3
2018-12,10,3
2018-12,11,1
2018-12,12,5
2018-12,13,4
2018-12,14,2
2018-12,15,4
2018-12,16,5
2018-12,17,1
2018-12,18,3
2018-12,19,1
2018-12,20,5
2018-12,21,4
2018-12,22,4
2018-12,24,1
2018-12,25,3
2018-12,26,2
2018-12,28,2
2018-12,30,1
2018-12,31,3
2018-12,34,2
2018-12,36,1
2018-12,37,3
2018-12,38,4
2018-12,40,1
2018-12,43,1
2018-12,44,3
2018-12,46,1
2018-12,48,1
2018-12,49,1
2018-12,52,1
2018-12,55,1
2018-12,56,1
2018-12,60,3
2018-12,61,2
2018-12,63,1
2018-12,64,1
2018-12,67,2
2018-12,74,1
2018-12,77,1
2018-12,85,1
2018-12,88,1
2018-12,89,1
2018-12,91,1
2018-12,92,2
2018-12,98,1
2018-12,100,1
2018-12,101,1
2018-12,103,1
2018-12,104,1
2018-12,111,2
