,sender,out_degree,in_degree,tot_transactions,total_amount,max_amount,min_amount,type_of_address
0,0xde48a49359d9f0c8609221f77f382e1472ddbab7,14421,15,166436,8.6e+18,3e+18,0.0,normal
1,0xfdf1946a9b40245224488f1a36f4a9ed4844a523,6,10,317331,5.398018e+18,5.394418e+18,0.0,normal
2,0xc5341278a92e2bd8203ab931c6780c15d367713f,21478,85996,908292,6.91122963193e+23,9.43e+21,0.0,normal
3,0x89e51fa8ca5d66cd220baed62ed01e8951aa7c40,38258,33,2390462,8.26803598678573e+19,3.5582241938667744e+16,0.0,normal
4,0x6596da8b65995d5feacff8c2936f0b7a2051b0d0,410715,1,685952,4.107274928548641e+21,1.2086956099581722e+18,100000000000.0,normal
5,0x4e7b110335511f662fdbb01bf958a7844118c0d4,118101,62346,135487,5.5154744649347e+23,3.9999e+22,0.0,normal
6,0x26ce7c1976c5eec83ea6ac22d83cb341b08850af,31,19,150552,1.9377321378741936e+21,2e+20,0.0,normal
7,0x36a454aef52938c8637cd4689b2980c1cfd43389,4,9,229441,510171254894.0,16776960.0,0.0,normal
8,0x063ed6f59bd44d8bc99c3b170a3d52b49dcbcfff,66554,283,180561,1.7978365603950176e+23,1.1365425e+23,0.0,normal
9,0x55ae3f67039c332f55be00c1d33d989d2da108c5,32,12,146148,3.280583696559007e+19,1.15732e+19,0.0,normal
10,0x8a01fa5a77311bbcf29e293d8ecb48707cfdb700,5,9,124008,5.915605130925776e+18,5.907982816411787e+18,0.0,normal
11,0x46340b20830761efd32832a74d7169b29feb9758,2044285,2465,11972366,6.131382726602077e+24,1.422076597328991e+22,0.0,normal
12,0x6a7a43be33ba930fe58f34e07d0ad6ba7adb9b1f,11733,10,249278,1.3922348385192e+23,1e+21,0.0,normal
13,0xbd9b34ccbb8db0fdecb532b1eaf5d46f5b673fe8,51915,5069,159365,2.0670426653971962e+21,1.6e+20,0.0,normal
14,0xbf94f0ac752c739f623c463b5210a7fb2cbb420b,1095819,459677,1466125,4.16113279720922e+24,4.9999e+22,0.0,normal
15,0x8216874887415e2650d12d53ff53516f04a74fd7,479148,157,1184334,1.2430842294171547e+23,2.17505e+19,0.0,normal
16,0x035cb93d40a60d9adcd0a38954e802720996b481,5,2,133847,8.9430530730989e+17,8.92051862488995e+17,0.0,normal
17,0xb2ca9495f3e1972801c12a964fa344a6630f427a,53901,13954,114962,2.616146235271934e+23,4.8e+21,0.0,normal
18,0x74dec05e5b894b0efec69cdf6316971802a2f9a1,299025,656,1171260,7.060780114653512e+23,5.3308538142531e+21,0.0,normal
19,0xab782bc7d4a2b306825de5a7730034f8f63ee1bc,52187,42803,404012,1.6002663991221324e+23,6.81799e+21,0.0,normal
20,0x5041ed759dd4afc3a72b8192c143f72f4724081a,8,55,1779998,0.0,0.0,0.0,normal
21,0x0aeee23d16084d763e7a65577020c1f3d18804f2,42000,60932,287428,1.2038147137958233e+23,1.13e+21,0.0,normal
22,0xfc573e8059e0cda91fa70866e34e94d77d0c78b0,36200,13780,199869,2.365878296826872e+22,2.8338793146983626e+20,0.0,normal
23,0xeee28d484628d41a82d01e21d12e2e78d69920da,20804,1735,1792867,1.8592822227327384e+24,1.0186e+22,0.0,normal
24,0x538d72ded42a76a30f730292da939e0577f22f57,23,2,315557,0.0,0.0,0.0,normal
25,0x126accde9fa7cdc6cc8dcaae1f5071baae8a732a,24839,11587,123043,1.5672996578860103e+23,4.9999430339628656e+20,429442981450000.0,normal
26,0x7ece946a162c2942072b3f31cc5e67c7c777313f,419,3,167107,1.2447202577498575e+18,5e+17,0.0,normal
27,0xb9a4873d8d2c22e56b8574e8605644d08e047549,233192,42790,284921,4.62965669522582e+24,3.4233e+22,0.0,normal
28,0x1c17622cfa9b6fd2043a76dfc39a5b5a109aa708,9558,7,167079,6.800552127298087e+21,2.521034120049918e+21,0.0,normal
29,0x68b22215ff74e3606bd5e6c1de8c2d68180c85f7,268298,149019,633607,1.917680020187256e+23,2.8e+21,0.0,normal
30,0xbccec45297ec2877ba96ae86b2fe59f95a0522e6,35808,294,142718,1.0787134263603946e+22,2.733244887e+19,0.0,normal
31,0x0b5c4a7fcda49e0a8661419bb55b86161a86db2a,14,12,302301,1e+18,1e+18,0.0,normal
32,0x1cbdd8336800dc3fe27daf5fb5188f0502ac1fc7,9762,6,421443,3.3810721069e+19,2.5e+19,0.0,normal
33,0xc00eebe4e2be29679781fc5fc350057ee8132bab,84848,1285,186114,2.6601412668040063e+20,2e+17,0.0,normal
34,0x428ab2ba90eba0a4be7af34c9ac451ab061ac010,174,12,187881,2.0399811312433415e+21,9.999e+20,0.0,normal
35,0xbd5cdd2b3d04ce42605aaea7e8355ac0e0a12710,62192,10,429317,1.2010447642859164e+21,4.2106987269467e+19,7234956000000.0,normal
36,0x7563758243a262e96880f178aee7817dcf47ab0f,40173,54390,176846,4.1254034880452924e+22,1.00008484221e+21,0.0,normal
37,0x32f7ccc365a4ae5f6c3f81f63fb0dfa97a31248d,2,3,122935,2.946583985675292e+18,2.946583985675292e+18,0.0,normal
38,0xa090e606e30bd747d4e6245a1517ebe430f0057e,256936,17136611,451163,1.1672066366486529e+24,5e+21,0.0,normal
39,0xcf2d187d3833dd9063b019d0c39e4566576c3c56,104,14,338321,1.047e+19,5e+18,0.0,normal
40,0x6748f50f686bfbca6fe8ad62b22228b87f31ff2b,242,45,1970162,1.5362851987235904e+21,9.6e+20,0.0,normal
41,0x502a76d02dfaeb9a7907a4e4b28fb66519ba7d60,12088,2590,133373,4.074457042356333e+22,8.59e+20,0.0,normal
42,0x0b7a434782792b539623fd72a428838ea4173b22,25131,48,165172,4.727061412893982e+23,7.823990836480673e+21,0.0,normal
43,0xbd6d79f3f02584cfcb754437ac6776c4c6e0a0ec,34492,19316,199129,3.9702152050885416e+23,1e+22,0.0,normal
44,0x73952f60df25c4389e6afcfa4ebbdfa093e54b73,3,2,732556,1.915791079105992e+19,1.915791079105992e+19,0.0,normal
45,0xff28319a7cd2136ea7283e7cdb0675b50ac29dd2,47,7,300296,2.0029464056907108e+20,1.4464047115467674e+20,0.0,normal
46,0x9239df3e9996c776d539eb9f01a8ae8e7957b3c3,44,24,130469,1.095011e+21,2e+20,0.0,normal
