,sender,out_degree,in_degree,tot_transactions,total_amount,max_amount,min_amount,type_of_address
0,io1lwc9nuu3gz3jm65s7u4ylwwyuf34pxq27dfq89,719,885,13200,8.210148611242468e+24,1.0481137110267446e+23,0.0,normal
1,io1p5rs093e2te0hfva6phjksj6eeqtfyh78wmd5f,2738,3310,16272,8.676190257055446e+26,9.99998e+24,1e+16,normal
2,io1he2uzmvedelr3q09s00h8fekj7qxtnzsnnweu2,4162,6723,16084,6.079976222487922e+26,3e+25,1e+16,normal
3,io1z85pftu0rvhu3x4k3acqrulvlu7a7dlamstxt9,23,14,17779,4.210062273017691e+25,1.06e+23,0.0,normal
4,io1z59lrha2jvm8pd2adeq2wvnun285qqq44wd9k9,16,8,17016,9.908245706523437e+22,3.5e+21,1e+16,normal
5,io1kj0679tg36ynz5jt8djw0gsx77m854xp7v47hn,128,148,13861,2.0109978846670087e+23,6.580241649397573e+21,280134036141.0,normal
6,io196qxc548vftnwc3q2jzgzrdp9yk8mpcf6kzjhd,13,7,14573,1.6769468401854104e+23,1.1566e+22,1e+16,normal
7,io1zvcyzjdm39jf5vpmuur5pqr2jnyzjxgelsuep5,109,48,18347,4.2305540588440975e+24,2.5e+23,0.0,normal
8,io1xr4tdpwadww8aurvjuh95agxjtkdllj2ltt8d6,32,14,11727,1.3832603116e+22,3e+21,1e+16,normal
9,io1ul39s3nkg2a9wx0q7dwt7sw20jfym37mg6msaq,16,11,61926,2.98245190936065e+23,2.055e+22,1e+16,normal
10,io1j46umghns0dup6wp8dn28qu7f9lh99gag55r3y,4,4,12479,3.873104257796572e+22,2.678e+21,1e+16,normal
11,io1fzw5m8a2q5k28vh9mjch7trl6t6u9whw2zaz3h,23,32,12030,1.8211732539448947e+24,3.760088006e+23,0.0,normal
12,io1dk08u7hu289nd3pwz628g6mtwg62lq834v5y0a,24,22,13139,1.7237191445252516e+22,1.3e+21,1.5006e+16,normal
13,io1s934w6tmfxfhr6fu4urg5dp8jqwx0s2rcuy922,13,3,11478,1.14699526765e+23,6.35e+22,1e+16,normal
14,io15tey6eqrcn53aug93zt8y9qskce5gnypchc5sl,21,22,87825,1.9412772697562475e+24,3e+22,1e+16,normal
15,io1nktx7lk4a2f0u6wxw54x5eeagyjaz8vw8d84a3,5,2,12138,1.0020325345e+22,1.155e+21,1e+16,normal
16,io1d2vlfy29jnfp4mh9v4r7tu0z5nrwksmnthswv3,4,6,10676,2.869814752672236e+22,3.1e+21,1e+16,normal
17,io1w94dq2ccc7r3cqljmknw5882dly32t9jryqgzt,4,3,22244,1.2241818056643294e+23,1.89e+22,1e+16,normal
18,io169ruz7h3a9r9dt2gqccgmlfh96dzwfelay9ank,7,4,15863,8.513680568631e+24,5e+23,0.0,normal
19,io1xh3nledzzfvsg59ucre8mg0y30laej8ctlnene,16,6,61951,4.4805268747157615e+22,2.3e+21,1e+16,normal
20,io1c9x7alng0px94z4wxhrlrl3cj8hxt8aqp9xl9s,12,7,26305,5.708504025654271e+25,2.5e+23,0.0,normal
21,io1788dpxa92ay8a5kfu68x7sqsvkzkx25r6dhx84,7,6,28479,3.5876536675e+22,1e+22,1e+16,normal
22,io16dhtd3exjjfxfqz78a2wwk050ejqwwvjckq58n,28,21,116853,1.063534944325412e+25,8.983388589118527e+21,0.0,normal
23,io15pld7pjwypm6rfd2hzusg5mrsfj3v0dgzs0fqw,12,2,18675,2.2494227549772923e+22,7.74e+21,1e+16,normal
24,io14xf3pqwydy9vpzxflpqcry75ne5f47654f2rn9,4,3,22065,1.4966230928e+22,1.7e+21,1e+16,normal
25,io1n6esxzmkdqxux0052wlvmz80eftj37pfxzwl2d,4,3,13981,7.648097894559001e+21,1.164e+21,1e+16,normal
26,io1f6h0jejle9envxfenwkj06htev35dehl4xgm29,5,4,15718,3.3709155906694e+23,1.317e+23,1e+16,normal
27,io1l6ut43tmclpaens4kp6734emd4na4jdevlahww,1,1,15999,2.743929193749669e+22,4.799825e+19,3.469154156092347e+16,normal
28,io1ey8s7p7kzu9lh68we7mstmyllaxc6tgwuj2whh,1156,2,213968,6.999997054088972e+23,1.554128e+22,824382764862280.0,normal
