,sender,out_degree,in_degree,tot_transactions,total_amount,max_amount,min_amount,type_of_address
0,KT1UMAE2PBskeQayP5f2ZbGiVYF7h8bZ2gyp,1570,1892,53736,1953345728958.0,17580096951.0,0.0,normal
1,tz1VeaJWkdr2m5YaKFgeAafenhHhDcMxWfHC,12776,5518,35392,121088968113600.0,416723000000.0,10000.0,normal
2,tz1iVUtqsSDxEYL9SAvbMdwm4FzSr3McWH6m,255,3,31648,57832977987.0,1000000000.0,2221.0,normal
3,KT1PxkrCckgh5fA5v2cZEE2bX5q2RV1rv8dj,3,2799,111350,0.0,0.0,0.0,normal
4,tz1bDXD6nNSrebqmAnnKKwnX1QdePSMCj4MX,33384,35207,103631,488733583748386.0,8000000000000.0,50000.0,likely anomaly
5,KT1Cba383ZJpEearqnUyUKUMsgu5Z3TXBgeH,13,1026,62376,0.0,0.0,0.0,normal
6,tz1Z7HGaayrL4XDNQ7UyXe7L4wXboELkhBm3,448,12,31883,53741295816.0,2397690000.0,1.0,normal
7,tz1RD1wbX3sVgrVYRM341Cgr6h4eFb3ZUeWu,76,32,37257,724010535024.0,1186000000.0,0.0,normal
8,KT1WvV2rPBQUFUqtCWmnnj8JX2gkmDtMBzQi,2,11056,46952,0.0,0.0,0.0,normal
9,tz1Pm31zkj5tryYwhuqE7hhzYnULzrA5g5cf,29402,34,64089,18116783169705.0,113142900000.0,10000.0,normal
10,KT1Ty2uAmF5JxWyeGrVpk17MEyzVB8cXs8aJ,706,5,48617,401163662514747.0,594549777910.0,0.0,normal
11,KT1H67aLf6SUN1BysWfFLfjUEuN1M6E9qFwM,1,11,65470,0.0,0.0,0.0,normal
12,KT1HGL8vx7DP4xETVikL4LUYvFxSV19DxdFN,324,1225,42094,44057416927.0,1137500000.0,0.0,normal
13,KT1ApiKQtUATKKveCRYPpcFX1aq3L8pUyyLx,15,17,66934,0.0,0.0,0.0,normal
14,tz1gFq1HYc21uUVarCkA6QMjPjqP86nTdoxg,169,43,34233,9965187813.0,111000000.0,0.0,normal
15,KT1CjrJzk4S66uqv2M3DQHwBAzjD7MVm1jYs,15,16,87263,0.0,0.0,0.0,normal
16,tz1acsihTQWHEnxxNz7EEsBDLMTztoZQE9SW,3424,6,320111,918059894526.0,2335102152.0,0.0,normal
17,tz1TDShnpCSsLVJkBW29wNetEFFYeeNxMSVf,2049,2,33558,9117405745.0,76638284.0,0.0,normal
18,tz1LtHRN6esYq7mAk82vu49PzPcSoj7H3Pjj,112,49,42551,947065468390.0,13850000000.0,0.0,normal
19,tz1YrmJw6Lje27gWqZ94gU9mNavEjkHu1xGc,2560,7,159820,810186478539.0,2508516600.0,0.0,normal
